 postid | likes | dislikes 
    119 |     4 |        4
    120 |     6 |        6
    121 |     1 |        1
    122 |     6 |        5
    123 |     4 |        3
    124 |     8 |        6
    125 |     1 |        1
    126 |     3 |        1
    127 |     1 |        2
    128 |     5 |        7
    129 |     6 |        4
    132 |     9 |        5
    133 |     7 |        4
    134 |     2 |        4
    135 |     6 |        6
    136 |     6 |        9
    137 |     1 |        1
    138 |     3 |        3
    140 |     7 |        2
    141 |     7 |        5
    142 |     4 |        6
    144 |    10 |        4
    147 |     4 |        3
    149 |     2 |        2
    150 |     6 |        8
    153 |     6 |        5
    154 |     2 |        1
    155 |     3 |        2
    156 |     1 |        1
    157 |     3 |        2
    158 |     5 |        4
    160 |     3 |        3
    161 |     6 |        7
    163 |     2 |        5
    164 |     3 |        3
    165 |     2 |        8
    167 |     8 |        7
    168 |     7 |        4
    170 |     6 |        2
    171 |     3 |        6
    173 |     6 |        3
    174 |     1 |        4
    175 |     6 |        5
    176 |     4 |        9
    177 |     4 |        5
    178 |     4 |        6
    179 |     1 |        3
    180 |     8 |        6
    181 |     2 |        5
    182 |     7 |        6
    183 |     7 |        5
    184 |     6 |        7
    185 |    10 |        3
    186 |     9 |        4
    187 |     2 |        3
    188 |     3 |        1
    189 |     3 |        5
    190 |     6 |        7
    191 |     1 |        1
    192 |     4 |        3
    194 |     5 |        9
    195 |     3 |        3
    196 |     6 |        8
    197 |     4 |        8
    198 |     5 |        3
    199 |     2 |        3
    200 |     5 |        7
    201 |     9 |        5
    202 |     8 |        2
    203 |     1 |        1
    204 |     3 |        2
    205 |     2 |        1
    207 |     4 |        4
    209 |     4 |        7
    211 |     6 |        7
    212 |     6 |        3
    213 |     4 |        7
    214 |     3 |        4
    215 |     4 |        3
    216 |     7 |        6
    217 |     3 |        3
    218 |     1 |        5
    219 |     1 |        1
    221 |     5 |        6
    222 |     4 |        1
    223 |     2 |        7
    224 |     4 |        4
    225 |     1 |        3
    227 |     6 |        6
    228 |     7 |        4
    230 |     7 |        3
    232 |     6 |        5
    233 |     7 |        6
    235 |     6 |        2
    236 |     1 |        4
    237 |     4 |        4
    238 |     3 |        6
    239 |     4 |       11
    241 |     4 |        5
    242 |     3 |        7
    243 |     5 |        2
    244 |     6 |        4
    246 |     5 |        8
    247 |     7 |        3
    248 |     1 |        2
    249 |     6 |        6
    251 |     7 |        8
    252 |     1 |        3
    253 |     8 |        6
    255 |     6 |        3
    256 |     3 |        3
    257 |     6 |        5
    258 |     5 |        6
    260 |     2 |        5
    261 |     5 |        3
    262 |     7 |        5
    264 |     6 |        2
    267 |     4 |        7
    268 |     5 |        1
    269 |     1 |        2
    270 |     8 |        7
    271 |     8 |        7
    272 |    10 |        4
    275 |     6 |        8
    276 |     3 |        3
    278 |     5 |        7
    279 |     3 |        1
    280 |     9 |        4
    281 |     4 |        2
    283 |     6 |        5
    284 |     3 |        2
    285 |     5 |        5
    286 |     6 |        7
    287 |     5 |        5
    288 |     2 |        6
    289 |     4 |        8
    290 |     2 |        5
    291 |     8 |        5
    292 |     3 |        4
    293 |     6 |        5
    296 |     3 |        8
    299 |     7 |        8
    300 |     5 |        4
    301 |     3 |        2
    302 |     8 |        2
    303 |     5 |        5
    304 |     1 |        1
    305 |     5 |        8
    307 |     5 |        6
    308 |     6 |        9
    312 |     2 |        2
    313 |     6 |        5
    314 |     4 |        4
    315 |     1 |        1
    316 |     6 |        8
    318 |    10 |        5
    320 |     4 |        2
    321 |     3 |        1
    322 |     6 |        8
    323 |     3 |        2
    326 |     8 |        6
    327 |     5 |        7
    329 |     2 |        8
    330 |     3 |        2
    332 |     7 |        6
    333 |     7 |        8
    334 |     8 |        6
    335 |     4 |        9
    336 |     5 |        3
    337 |     2 |        2
    338 |     4 |        4
    339 |     7 |        4
    340 |     5 |        7
    341 |     6 |        2
    342 |     5 |        6
    343 |     4 |        1
    344 |     7 |        4
    345 |     4 |        5
    346 |     1 |        1
    347 |     3 |        6
    348 |     5 |        3
    350 |     6 |        8
    351 |     5 |       10
    353 |     3 |        5
    354 |     3 |        3
    355 |     7 |        6
    356 |     2 |        2
    357 |     1 |        1
    358 |    10 |        5
    359 |     2 |        8
    360 |     6 |        3
    361 |     2 |        7
    362 |     1 |        7
    363 |     1 |        4
    365 |     7 |        8
    366 |     4 |        8
    367 |     5 |        4
    368 |     5 |        7
    370 |     8 |        6
    372 |     1 |        3
    373 |     5 |        5
    374 |     3 |        1
    376 |     1 |        1
    377 |     1 |        2
    379 |     8 |        6
    380 |     1 |        3
    382 |     2 |        1
    383 |     3 |        2
    384 |     2 |        6
    385 |     2 |        3
    387 |     8 |        4
    389 |     2 |        2
    390 |     2 |        5
    393 |     6 |        8
    395 |     1 |        5
    396 |     4 |        9
    397 |    10 |        5
    398 |     3 |        4
    399 |     8 |        7
    401 |     5 |        3
    402 |     2 |        1
    403 |     3 |        4
    404 |     3 |        6
    405 |     2 |        8
    406 |     5 |        4
    407 |     4 |        4
    408 |     3 |        5
    409 |     5 |        3
    410 |     6 |        8
    411 |     6 |        5
    412 |     1 |        2
    413 |     4 |        7
    414 |     2 |        3
    415 |     6 |        7
    416 |     3 |        3
    417 |     2 |        6
    418 |     9 |        6
    419 |     2 |        3
    420 |     5 |        4
    421 |     6 |        8
    422 |     4 |        1
    423 |     5 |        5
    424 |     6 |        4
    425 |     7 |        4
    427 |     4 |        1
    428 |     7 |        6
    429 |     7 |        5
    430 |     4 |        1
    431 |     7 |        6
    432 |     2 |        6
    433 |     2 |       10
    434 |     3 |        1
    435 |     5 |        7
    436 |     7 |        6
    437 |     5 |        6
    438 |     3 |        2
    439 |     1 |        1
    440 |     1 |        1
    442 |     2 |        1
    443 |     3 |        3
    444 |     1 |        1
    445 |     9 |        4
    446 |     5 |        8
    447 |     4 |        1
    448 |     7 |        2
    449 |     2 |        3
    450 |     2 |        2
    451 |     1 |        1
    453 |     7 |        4
    454 |    12 |        3
    455 |     5 |        5
    457 |     6 |        3
    458 |     4 |        9
    459 |     1 |        4
    460 |     6 |        4
    461 |     6 |        6
    463 |     3 |        6
    464 |     2 |        1
    465 |     1 |        2
    467 |     2 |        2
    468 |     7 |        8
    469 |     8 |        5
    470 |     6 |        6
    472 |     1 |        2
    473 |     2 |        2
    474 |     8 |        3
    475 |     2 |        3
    476 |     5 |        5
    477 |     4 |        3
    478 |     6 |        5
    481 |     5 |        5
    482 |     7 |        8
    483 |     7 |        2
    484 |     9 |        6
    485 |     9 |        5
    486 |     8 |        3
    487 |     4 |        7
    488 |     8 |        7
    489 |     8 |        7
    490 |     5 |        3
    491 |     2 |        9
    492 |     7 |        5
    493 |     6 |        9
    495 |     9 |        4
    496 |     6 |        8
    497 |     3 |        1
    499 |     2 |        1
    500 |     9 |        1
    502 |     5 |        6
    504 |     6 |        4
    506 |     4 |        4
    507 |     2 |        3
    508 |     6 |        7
    510 |     7 |        7
    511 |     4 |        4
    512 |     6 |        7
    513 |     7 |        6
    514 |     7 |        1
    515 |     3 |        6
    516 |     4 |        5
    517 |     5 |        3
    518 |     1 |        6
    519 |     3 |        4
    520 |     6 |        3
    521 |     5 |        1
    522 |     2 |        1
    523 |     7 |        8
    524 |     8 |        4
    525 |     3 |        5
    526 |     1 |        5
    527 |     5 |       10
    529 |     6 |        9
    530 |     5 |        4
    531 |     2 |        6
    532 |     8 |        7
    533 |     5 |        8
    535 |     2 |        5
    536 |     6 |        7
    538 |     5 |        3
    539 |     2 |        1
    540 |     3 |        2
    541 |     7 |        7
    542 |     5 |        4
    543 |     4 |        4
    544 |     4 |        2
    545 |     6 |        5
    548 |     6 |        3
    549 |     6 |        9
    550 |     1 |        1
    552 |     5 |        8
    553 |     6 |        4
    554 |     5 |        5
    556 |     4 |        7
    557 |     3 |        9
    558 |     3 |        3
    559 |     3 |        1
    560 |     8 |        7
    561 |     4 |        9
    562 |     4 |        2
    563 |     4 |        4
    564 |     5 |        3
    565 |     4 |        2
    566 |     5 |        6
    567 |     7 |        6
    568 |     5 |        1
    569 |     9 |        5
    570 |     2 |        8
    571 |     4 |        6
    572 |     6 |        8
    573 |     7 |        5
    574 |     2 |        3
    575 |     3 |        2
    577 |     5 |        6
    578 |     2 |        1
    579 |     7 |        6
    580 |     1 |        3
    582 |     7 |        3
    583 |     1 |        1
    584 |     7 |        4
    585 |     6 |        6
    586 |     4 |        7
    587 |     2 |        2
    588 |     3 |        3
    589 |     3 |        8
    590 |     4 |        1
    591 |     3 |        5
    592 |     5 |        7
    593 |     6 |        4
    595 |     3 |        3
    596 |     4 |        8
    597 |     1 |        4
    598 |     3 |        1
    599 |     3 |        5
    600 |     2 |        2
    601 |     5 |        4
    602 |     6 |        2
    604 |     7 |        5
    606 |     1 |        2
    607 |     2 |        4
    608 |     4 |        4
    609 |     4 |        4
    610 |     1 |        2
    611 |     6 |        5
    612 |     5 |        9
    613 |     1 |        3
    614 |     4 |        5
    615 |     2 |        1
    616 |     8 |        2
    617 |     2 |        3
    618 |     5 |        4
    619 |     3 |        8
    620 |     4 |        5
    621 |     9 |        3
    622 |     6 |        4
    623 |     7 |        1
    624 |     6 |        5
    626 |     4 |       11
    629 |     1 |        2
    630 |     2 |        1
    631 |     9 |        5
    633 |     6 |        4
    634 |     1 |        1
    635 |     4 |        6
    636 |     1 |        2
    637 |     3 |        5
    639 |     4 |        8
    641 |     7 |        4
    642 |     4 |        5
    644 |     9 |        6
    645 |     5 |        3
    646 |     4 |        8
    647 |     3 |        6
    648 |     5 |        6
    649 |     5 |        5
    650 |     2 |        1
    651 |     5 |       10
    653 |     2 |        2
    654 |     9 |        6
    656 |     2 |        2
    657 |     9 |        6
    658 |     3 |        5
    659 |     6 |        6
    660 |    10 |        5
    661 |     3 |        3
    662 |     5 |        8
    663 |     9 |        4
    666 |     2 |        2
    667 |     7 |        7
    668 |     3 |        5
    669 |     3 |        1
    670 |     3 |        3
    672 |     5 |        1
    673 |     4 |        1
    674 |     3 |        2
    675 |     6 |        9
    676 |     6 |        1
    677 |     6 |        4
    678 |     7 |        1
    679 |     4 |        2
    680 |     1 |        1
    682 |     6 |        6
    684 |     2 |        2
    685 |     3 |        6
    686 |     7 |        5
    687 |     5 |        6
    688 |     6 |        4
    689 |     1 |        3
    690 |     4 |        2
    691 |     8 |        3
    692 |     1 |        1
    694 |     7 |        8
    695 |     3 |       12
    696 |     2 |        2
    697 |     4 |        8
    698 |     4 |        1
    699 |     1 |        3
    700 |     5 |        8
    701 |     3 |        5
    702 |     6 |        7
    703 |    10 |        3
    704 |     4 |        5
    705 |     7 |        4
    706 |     5 |        3
    709 |     6 |        8
    711 |     3 |        4
    712 |     7 |        3
    714 |     3 |        7
    717 |     2 |        2
    718 |     5 |        2
    719 |     6 |        2
    720 |     5 |        2
    721 |     7 |        5
    722 |     2 |        4
    723 |     5 |        5
    724 |     1 |        3
    725 |     5 |        4
    726 |     7 |        5
    728 |     1 |        4
    729 |     5 |        2
    731 |     4 |        6
    732 |     2 |        2
    733 |     5 |        3
    734 |    10 |        5
    735 |     2 |        2
    736 |     1 |        2
    737 |     1 |        1
    738 |     3 |        2
    739 |     8 |        3
    741 |     2 |        4
    742 |     1 |        6
    743 |     6 |        6
    744 |     7 |        3
    746 |     4 |        3
    750 |     3 |        2
    751 |     6 |        8
    752 |     5 |        3
    753 |     4 |        2
    754 |     3 |        1
    755 |     6 |        5
    756 |     9 |        6
    757 |     5 |        8
    759 |     5 |       10
    760 |     4 |        6
    761 |     3 |        5
    763 |     3 |        4
    764 |     5 |        3
    765 |     4 |        2
    766 |     1 |        1
    767 |     4 |        3
    768 |     4 |        3
    771 |     2 |        6
    772 |    10 |        5
    773 |     7 |        6
    775 |     4 |        5
    776 |     4 |        3
    777 |     5 |        5
    778 |     7 |        3
    779 |     9 |        1
    780 |     4 |        2
    781 |     6 |        5
    783 |     2 |        1
    784 |     5 |        5
    785 |     5 |        1
    786 |     5 |       10
    788 |     8 |        1
    789 |     7 |        8
    790 |     1 |        2
    791 |     8 |        3
    792 |     2 |        3
    793 |     6 |        2
    794 |     5 |        3
    795 |     5 |        3
    796 |     4 |        6
    797 |     3 |        4
    798 |     4 |        4
    799 |     3 |        6
    800 |    10 |        5
    801 |     1 |        1
    802 |     6 |        8
    804 |     4 |        5
    805 |    10 |        3
    806 |     3 |        4
    807 |     5 |        1
    808 |     1 |        1
    810 |     7 |        2
    811 |     5 |        6
    812 |     8 |        5
    813 |    11 |        3
    815 |     4 |        2
    817 |     6 |        2
    819 |     7 |        3
    820 |     5 |        2
    822 |     9 |        5
    825 |     6 |        6
    827 |     2 |       12
    828 |     5 |        3
    830 |     1 |        1
    831 |     3 |        4
    832 |     3 |        3
    833 |     4 |        7
    834 |     1 |        4
    835 |     3 |        9
    836 |     5 |        5
    837 |     5 |        6
    838 |     4 |        9
    839 |     5 |        2
    842 |    10 |        5
    844 |     5 |        4
    845 |     4 |        7
    846 |     6 |        5
    849 |     3 |        3
    850 |     2 |        1
    851 |     2 |        2
    852 |     8 |        4
    856 |     2 |        1
    857 |     4 |        5
    858 |     8 |        4
    859 |     8 |        4
    860 |     9 |        6
    861 |     6 |        5
    863 |     2 |        7
    864 |     3 |        1
    865 |     3 |        4
    866 |     6 |        9
    867 |     3 |        7
    868 |     8 |        7
    869 |     2 |        6
    870 |     7 |        8
    871 |     2 |        3
    872 |     1 |       10
    873 |     5 |        5
    874 |     9 |        6
    875 |     3 |        3
    876 |     2 |        1
    877 |     4 |        3
    878 |     3 |        7
    879 |     6 |        8
    880 |     1 |        1
    881 |     2 |        2
    882 |     3 |        6
    883 |     4 |        3
    884 |     5 |        4
    885 |     8 |        7
    886 |     4 |        4
    887 |     1 |        3
    888 |     6 |        3
    889 |     6 |        6
    890 |     1 |        1
    891 |     4 |        6
    892 |     8 |        3
    893 |     1 |        1
    894 |     7 |        4
    897 |     3 |        1
    898 |     5 |        5
    899 |     9 |        3
    901 |     6 |        8
    902 |     4 |        2
    903 |     3 |        4
    904 |     2 |       10
    905 |     3 |        1
    906 |     4 |        5
    907 |     8 |        7
    910 |     6 |        2
    911 |     3 |        5
    912 |     9 |        6
    913 |     6 |        7
    915 |     1 |        1
    916 |     4 |        8
    917 |     8 |        6
    918 |     2 |        7
    919 |     1 |        5
    920 |     7 |        6
    921 |     6 |        8
    922 |     6 |        7
    923 |     1 |        1
    924 |     7 |        3
    925 |     3 |        2
    927 |     5 |        2
    928 |     3 |        4
    929 |     8 |        4
    930 |     8 |        5
    931 |     1 |        4
    932 |     2 |        2
    935 |     1 |        1
    936 |     2 |        3
    937 |     7 |        7
    938 |     5 |        7
    939 |    13 |        1
    941 |     3 |        6
    942 |     3 |        2
    943 |    10 |        3
    944 |     7 |        3
    945 |     6 |        2
    946 |     4 |        3
    949 |     6 |        4
    951 |     3 |        2
    952 |     5 |        6
    953 |     2 |        4
    955 |     1 |        1
    956 |     1 |        4
    958 |     6 |        4
    959 |     6 |        8
    960 |     2 |        3
    961 |     1 |        1
    962 |     5 |        7
    963 |     5 |        5
    965 |     8 |        7
    966 |     8 |        6
    967 |     4 |        2
    968 |     3 |        4
    969 |     1 |        3
    970 |     3 |        1
    971 |     5 |        6
    972 |     3 |        3
    973 |     7 |        6
    974 |     3 |        2
    975 |     9 |        2
    976 |     2 |        4
    978 |     9 |        3
    979 |     3 |        9
    982 |     6 |        8
    984 |     7 |        4
    985 |     4 |       10
    986 |     2 |        5
    987 |     7 |        5
    988 |     5 |        2
    989 |     6 |        4
    990 |     2 |        3
    991 |     2 |        3
    992 |    10 |        4
    995 |     2 |        1
    996 |     1 |        6
   1000 |     6 |        7
   1002 |     6 |        7
   1003 |     1 |        2
   1004 |     8 |        7
   1005 |     4 |        6
   1006 |     3 |        6
   1007 |     1 |        8
   1008 |     5 |        9
   1009 |     6 |        2
   1010 |     7 |        6
   1011 |     4 |        4
   1012 |     7 |        8
   1013 |     3 |        5
   1014 |     2 |        2
   1015 |     6 |        2
   1017 |     7 |        8
   1018 |     3 |        6
   1020 |     2 |        3
   1021 |     2 |        2
   1022 |     3 |        8
   1023 |     5 |        4
   1024 |     7 |        7
   1025 |     7 |        5
   1026 |     8 |        3
   1027 |     5 |        6
   1028 |     3 |        2
   1030 |     2 |        4
   1031 |     5 |        2
   1032 |    10 |        4
   1033 |     9 |        6
   1036 |     6 |        3
   1037 |     4 |        2
   1038 |     7 |        3
   1039 |     5 |        8
   1040 |     3 |        3
   1041 |     6 |        7
   1042 |     3 |        7
   1043 |     7 |        4
   1044 |     2 |        2
   1047 |     7 |        7
   1048 |     1 |        2
   1049 |     4 |        2
   1051 |     6 |        8
   1053 |     3 |        6
   1054 |     5 |        5
   1055 |     2 |        4
   1056 |     2 |        2
   1057 |     8 |        6
   1058 |     8 |        3
   1059 |     1 |        5
   1060 |     1 |        1
   1061 |     1 |        1
   1062 |     5 |       10
   1063 |     1 |        5
   1064 |     5 |        7
   1065 |     8 |        2
   1066 |     2 |        5
   1067 |     3 |        3
   1068 |     2 |        1
   1070 |    10 |        2
   1071 |     3 |        5
   1072 |     8 |        4
   1073 |     1 |        1
   1074 |     1 |        1
   1075 |     1 |        1
   1076 |     5 |        6
   1077 |     1 |        2
   1078 |     7 |        6
   1079 |     2 |        1
   1080 |     4 |        2
   1081 |     3 |        6
   1082 |     8 |        6
   1083 |     5 |        6
   1084 |     4 |        2
   1085 |     3 |       10
   1086 |     2 |        9
   1087 |     3 |        5
   1088 |     7 |        7
   1089 |     5 |        1
   1090 |     5 |        7
   1091 |     1 |        1
   1092 |     5 |        9
   1093 |     4 |        8
   1094 |     1 |        4
   1095 |     1 |        3
   1096 |     3 |        4
   1097 |     2 |        3
   1098 |     2 |        5
   1099 |     2 |        2
   1100 |     6 |        6
   1101 |     5 |        6
   1102 |     1 |        1
   1103 |     5 |        5
   1104 |     7 |        8
   1105 |     3 |        1
   1106 |     1 |        1
   1107 |     6 |        1
   1108 |     6 |        8
   1109 |     4 |        4
   1110 |     2 |        8
   1112 |    11 |        4
   1113 |     5 |        3
   1114 |     4 |        5
   1115 |     3 |        2
   1116 |     7 |        5
   1117 |     5 |        4
   1118 |     2 |        2
   1119 |     7 |        2
   1120 |     3 |        5
   1122 |     4 |        4
   1123 |     2 |        5
   1125 |     7 |        6
   1126 |     2 |        5
   1127 |     8 |        5
   1128 |     2 |        5
   1129 |     4 |        3
   1130 |     2 |        8
   1131 |     4 |        2
   1132 |     4 |        3
   1133 |     6 |        8
   1134 |     2 |        1
   1136 |     5 |        9
   1137 |     3 |        5
   1138 |     7 |        3
   1139 |     2 |        1
   1141 |     5 |        7
   1142 |     7 |        7
   1143 |     4 |        2
   1144 |     7 |        7
   1145 |     5 |        4
   1146 |     2 |        3
   1148 |     3 |        1
   1149 |     5 |        2
   1150 |     3 |        5
   1151 |     2 |        5
   1152 |    13 |        1
   1153 |     4 |        8
   1154 |     6 |        5
   1155 |     3 |        8
   1156 |     3 |        1
   1157 |     2 |        1
   1159 |     2 |        1
   1160 |     5 |        5
   1161 |     8 |        7
   1162 |     3 |        3
   1163 |     6 |        7
   1165 |     1 |        2
   1167 |    11 |        4
   1168 |     5 |        7
   1169 |     5 |        6
   1171 |     5 |        4
   1172 |     3 |        4
   1173 |     6 |        9
   1176 |     6 |        9
   1177 |     2 |        5
   1179 |     1 |        4
   1180 |     2 |        5
   1182 |     1 |        1
   1183 |     7 |        8
   1184 |     2 |        1
   1185 |     3 |        6
   1186 |     2 |        8
   1187 |     7 |        6
   1189 |     5 |        7
   1191 |     2 |        5
   1192 |     3 |        4
   1193 |     6 |        3
   1194 |     1 |        3
   1195 |     1 |        7
   1196 |     2 |        1
   1197 |     6 |        7
   1198 |     3 |        2
   1199 |     3 |        6
   1200 |     7 |        6
   1201 |     3 |        5
   1203 |    11 |        4
   1204 |     2 |        8
   1205 |     3 |        5
   1206 |     2 |        4
   1207 |     1 |        1
   1209 |     8 |        6
   1211 |     5 |        7
   1212 |     1 |        3
   1214 |     5 |        6
   1215 |     1 |        4
   1216 |     2 |        3
   1217 |     2 |        4
   1218 |     1 |        5
   1219 |     4 |        9
   1220 |     5 |        9
   1221 |     7 |        4
   1222 |     1 |        1
   1223 |     7 |        2
   1224 |     3 |        5
   1225 |     5 |       10
   1226 |     9 |        4
   1227 |     6 |        9
   1228 |     2 |        4
   1229 |     9 |        3
   1230 |     6 |        4
   1231 |     7 |        7
   1232 |     5 |        8
   1233 |     1 |        2
   1234 |     6 |        3
   1235 |     4 |        9
   1236 |     5 |        2
   1238 |     3 |        3
   1239 |     5 |        6
   1241 |     5 |        5
   1242 |     2 |        7
   1244 |     8 |        3
   1245 |     3 |        4
   1246 |     1 |        2
   1247 |     6 |        7
   1248 |     5 |        1
   1249 |     8 |        4
   1250 |     3 |        5
   1252 |     8 |        4
   1254 |     1 |        6
   1255 |     2 |        3
   1256 |     4 |        8
   1257 |     5 |        2
   1258 |     7 |        8
   1259 |     5 |        8
   1260 |     1 |        2
   1261 |     9 |        4
   1264 |     7 |        3
   1265 |     1 |        2
   1266 |     2 |        2
   1267 |     8 |        4
   1268 |     1 |        7
   1269 |     7 |        5
   1270 |     6 |        4
   1271 |     3 |        2
   1272 |     1 |        7
   1274 |     8 |        5
   1275 |     9 |        6
   1276 |     6 |        4
   1277 |     9 |        6
   1278 |     4 |        5
   1279 |     5 |        8
   1283 |     1 |        3
   1285 |     5 |        5
   1286 |     1 |        1
   1288 |     2 |        2
   1289 |     8 |        7
   1290 |     7 |        6
   1291 |     3 |        3
   1293 |     1 |        5
   1294 |     5 |        2
   1295 |     1 |        4
   1296 |     6 |        1
   1297 |     7 |        2
   1298 |     8 |        7
   1299 |     5 |        4
   1300 |     5 |        9
   1301 |     2 |        4
   1302 |     5 |        8
   1303 |     3 |        5
   1304 |     6 |        7
   1305 |     7 |        5
   1306 |     4 |        4
   1307 |     3 |        8
   1309 |     6 |        8
   1310 |     6 |        8
   1311 |     2 |        2
   1312 |     7 |        6
   1313 |    10 |        4
   1314 |     2 |        7
   1315 |     4 |        8
   1316 |     3 |        9
   1317 |     1 |        1
   1319 |     7 |        6
   1320 |     4 |        4
   1321 |     4 |        4
   1322 |     2 |        1
   1323 |     3 |        9
   1326 |     2 |        6
   1327 |     5 |        5
   1328 |     3 |        1
   1330 |     5 |        6
   1331 |     8 |        6
   1332 |     9 |        4
   1333 |     2 |        1
   1334 |    12 |        3
   1335 |     8 |        7
   1336 |     4 |        4
   1338 |     1 |        2
   1339 |     9 |        6
   1341 |     4 |        2
   1342 |     4 |        4
   1343 |     2 |        1
   1344 |     9 |        2
   1345 |     9 |        5
   1346 |     2 |        3
   1347 |     9 |        6
   1348 |     6 |        7
   1350 |     6 |        7
   1351 |     6 |        2
   1352 |     6 |        2
   1354 |     1 |        1
   1355 |     4 |        5
   1357 |     1 |        2
   1359 |     4 |        5
   1360 |     3 |        5
   1361 |     4 |        2
   1363 |     8 |        7
   1364 |     5 |        2
   1366 |     7 |        4
   1367 |     2 |        1
   1368 |     2 |        3
   1369 |     4 |        4
   1370 |     3 |        3
   1371 |     4 |        6
   1372 |     4 |        3
   1373 |     2 |        3
   1374 |     5 |        7
   1378 |     8 |        7
   1380 |     1 |        7
   1382 |     4 |        6
   1383 |     7 |        7
   1384 |     1 |        1
   1386 |     2 |        5
   1387 |     8 |        4
   1388 |     4 |        6
   1389 |     1 |        1
   1390 |     3 |        7
   1391 |     3 |        1
   1392 |    12 |        2
   1393 |     4 |        2
   1394 |     3 |        7
   1395 |     2 |        1
   1396 |     4 |        2
   1397 |     1 |        1
   1398 |     4 |       11
   1399 |     8 |        5
   1400 |     7 |        5
   1401 |     9 |        3
   1402 |     4 |        7
   1404 |     7 |        5
   1405 |     6 |        4
   1406 |     9 |        4
   1407 |     4 |        7
   1408 |     3 |        4
   1409 |     2 |        2
   1410 |     2 |        7
   1411 |     2 |        8
   1412 |     8 |        5
   1413 |     4 |        4
   1414 |     5 |        5
   1416 |     2 |        6
   1418 |     7 |        6
   1419 |     7 |        8
   1420 |     1 |        1
   1422 |     7 |        7
   1423 |     7 |        3
   1424 |     6 |        3
   1427 |     5 |        4
   1429 |     1 |        4
   1430 |     7 |        3
   1431 |     4 |        5
   1432 |     4 |       11
   1433 |     1 |        4
   1434 |     1 |        1
   1435 |     4 |        4
   1436 |     5 |        8
   1437 |     2 |        1
   1438 |     3 |        1
   1441 |     8 |        5
   1442 |     5 |        6
   1443 |     9 |        5
   1444 |     1 |        7
   1445 |     2 |        1
   1446 |     4 |        2
   1447 |     4 |        3
   1448 |     4 |        7
   1449 |     3 |        2
   1451 |     8 |        7
   1452 |     1 |        3
   1453 |     1 |        3
   1454 |     1 |        2
   1455 |     7 |        6
   1456 |     2 |        3
   1457 |     2 |        2
   1459 |     2 |        1
   1460 |     2 |        6
   1461 |     3 |        2
   1462 |     5 |        4
   1463 |     5 |        1
   1465 |     5 |        4
   1466 |     3 |        1
   1467 |     4 |        4
   1468 |     5 |        6
   1470 |     4 |        9
   1471 |     5 |        5
   1472 |     5 |        3
   1473 |     6 |        7
   1474 |     2 |        4
   1475 |     2 |        2
   1476 |     6 |        7
   1477 |     7 |        8
   1478 |     1 |        2
   1479 |     5 |        5
   1480 |     3 |        1
   1481 |     4 |        5
   1483 |     7 |        7
   1484 |     1 |        3
   1485 |     2 |        2
   1486 |     2 |        1
   1487 |     4 |       10
   1488 |     4 |        9
   1489 |     4 |        5
   1490 |     4 |        5
   1491 |     6 |        3
   1492 |     8 |        7
   1493 |    12 |        3
   1495 |     2 |        5
